ticker,signal_date,exit_date,closed,entry,exit,r0,R,move_pct,peak_pct,peak_R,held,r0_pct,er22,er55,fresh,dd_pct,hi_age,atr_pct,dev,selfvol,tier,mae_R,mae_low_R,mae_atr,mae_low_atr,breadth,regime
LBRT,2022-01-14,2022-01-21,1,12.45,11.37,0.8843,-1.221,-8.67,0.0,0.0,4,7.103,0.43425085371362876,0.06704547769767394,2.499,10.61,54,4.692,2.8733646168889915,-0.025967342442469232,strong,-1.221,-1.3,1.849,1.969,0.7906,bull
NWE,2022-01-14,2022-03-18,1,58.0,57.34,2.7267,-0.242,-1.14,6.55,1.394,43,4.701,0.2699999732971293,0.030902355281364632,1.233,2.23,48,1.832,1.5306720426697538,-0.07809742937709663,strong,-0.543,-0.807,1.393,2.071,0.7906,bull
OXY,2022-01-14,2022-06-16,1,35.51,56.81,5.7782,3.686,59.98,99.55,6.118,105,16.272,0.3809792096790727,0.05367983915450672,0.042,0.17,52,4.063,3.3227652364898836,0.0441919341017325,strong,-0.305,-0.716,1.22,2.869,0.7906,bull
PEP,2022-01-14,2022-02-10,1,175.64,168.37,8.322,-0.874,-4.14,0.0,0.0,18,4.738,0.3618981984608724,0.2671995434035209,0.0,0.0,1,1.247,1.5319586591620409,0.007345400360172949,mid,-0.874,-1.104,3.32,4.196,0.7906,bull
SHEL,2022-01-14,2022-02-24,1,50.05,51.59,3.08,0.5,3.08,11.31,1.838,27,6.154,0.6283034287723146,0.002301438006419795,0.679,1.34,55,1.972,5.077328166316461,-0.01051886639023536,strong,-0.666,-1.195,2.077,3.729,0.7906,bull
TSM,2022-01-14,2022-01-25,1,140.66,122.48,19.0531,-0.954,-12.92,0.0,0.0,6,13.546,0.3811982266580567,0.23104665046853273,0.0,0.0,1,3.301,3.577008945315266,0.39963253720112024,mid,-0.954,-1.078,3.915,4.421,0.7906,bull
UCTT,2022-01-14,2022-01-21,1,60.34,48.85,11.2485,-1.021,-19.04,0.0,0.0,4,18.642,0.24850895278377566,0.20268704187957734,0.212,1.05,41,4.917,1.620595051220949,0.17800316410464778,mid,-1.021,-1.053,3.872,3.99,0.7906,bull
WDS,2022-01-14,2022-04-25,1,18.25,22.34,1.4907,2.744,22.41,40.6,4.971,68,8.168,0.4883721961789448,0.016350556979518018,0.074,0.17,54,2.222,4.973836021238465,-0.020147929520865193,strong,-0.577,-0.758,2.121,2.787,0.7906,bull
BP,2022-01-18,2022-01-24,1,32.38,29.98,2.6604,-0.902,-7.41,0.0,0.0,4,8.216,0.6050421329770812,0.13515829071916893,0.0,0.0,1,2.187,5.906388408941216,0.06373170609282552,strong,-0.902,-1.312,3.39,4.929,0.6024,bull
DTM,2022-01-18,2022-03-14,1,51.65,51.26,4.4778,-0.087,-0.76,11.04,1.273,38,8.67,0.535484261113871,0.12648812902757026,0.0,0.0,1,2.324,2.5991369235795596,-0.024223466184825515,strong,-0.59,-0.939,2.199,3.503,0.6024,bull
