date,ticker,name,major,sub,benchmark,close,signal,entry_pct,minentry,maxentry,stop,atrpct,dev,selfvol,er22,er55,r0,mult,buf
2026-08-03,AA,Alcoa Corporation,矿业,铝加工,XME,44.84,Bad Market,,50.3184,50.9722,76.1619,0.0486,-0.6938,-0.2314,0.1368,0.238,-25.1897,3.5,0.2057
2026-08-03,AAOI,"Applied Optoelectronics, Inc.",科技硬件,光通信,XLK,110.21,Wait,,142.0219,146.5547,162.6624,0.1371,0.228,-0.0692,0.1558,0.1921,-16.1076,4,0.2
2026-08-03,AAPL,Apple Inc.,科技硬件,消费电子,QQQ,303.42,Wait,,343.1142,346.0623,305.6857,0.0324,-2.1316,0.2615,0.0756,0.0181,40.3766,3.5,0.3088
2026-08-03,ABVX,Abivax SA,医疗健康,生物技术,XLV,124.78,Wait,,146.0083,148.0457,117.4847,0.0544,-1.211,-0.0618,0.1163,0.0106,30.561,4,0.2
2026-08-03,ACLS,"Axcelis Technologies, Inc.",半导体,半导体,SOXX,131.12,Wait,,180.6126,184.0365,145.9478,0.087,-0.3445,0.143,0.3171,0.0814,38.0888,4,0.2
2026-08-03,ADI,"Analog Devices, Inc.",半导体,半导体,SOXX,361.88,Wait,,399.2688,403.7627,393.0516,0.0414,-1.1676,0.0356,0.1762,0.1342,10.7111,3.5,0.2416
2026-08-03,AEHR,Aehr Test Systems,半导体,半导体材料,SOXX,91.71,Wait,,101.2969,104.8771,68.8431,0.1301,1.1764,0.1743,0.0474,0.0315,36.034,4,0.2
2026-08-03,AEM,Agnico Eagle Mines Limited,矿业,金,GDX,147.42,Bad Market,,156.4142,158.1384,175.8539,0.039,0.4625,-0.1656,0.1191,0.23,-17.7154,3.5,0.2565
2026-08-03,AES,The AES Corporation,公用电力,再生能源,XLU,14.71,Bad Market,,14.8929,14.9126,14.6627,0.0045,-0.9425,-0.464,0.0909,0.1556,0.25,3,0.5
2026-08-03,AEVA,"Aeva Technologies, Inc.",科技硬件,电子元件,XLK,18.41,Wait,,28.2058,28.8144,21.1747,0.1102,0.1875,-0.0507,0.3518,0.0241,7.6397,4,0.2
2026-08-03,AG,First Majestic Silver Corp.,矿业,银,SIL,15.7,Bad Market,,18.0215,18.3239,19.9491,0.0642,-0.6038,-0.15,0.112,0.2308,-1.6253,4,0.2
2026-08-03,AGI,Alamos Gold Inc.,矿业,金,GDX,28.7,Bad Market,,31.867,32.2689,38.9612,0.0467,-0.4079,-0.2302,0.1179,0.2811,-6.6923,3.5,0.2142
2026-08-03,AGRO,Adecoagro S.A.,基础材料,农业,MOO,9.48,Bad Market,,11.4082,11.5554,11.687,0.0518,-1.5537,-0.1053,0.0,0.2699,-0.1316,4,0.2
2026-08-03,AHR,"American Healthcare REIT, Inc.",金融地产,医疗地产,XLRE,55.12,Wait,,58.2712,58.706,52.6477,0.0263,-0.5034,0.0228,0.09,0.0853,6.0582,3.5,0.3803
2026-08-03,AIR,AAR Corp.,航空国防,航空航天国防,ITA,143.06,Wait,,145.0406,146.9972,120.7828,0.0456,1.1473,0.201,0.0037,0.2195,26.2145,3.5,0.2193
2026-08-03,AKAM,"Akamai Technologies, Inc.",软件,软件,IGV,117.88,Wait,,130.6988,132.442,140.8023,0.0493,-0.2417,-0.0275,0.0788,0.2404,-8.3602,3.5,0.2029
2026-08-03,ALAB,"Astera Labs, Inc.",半导体,半导体,SOXX,321.05,Wait,,440.1417,451.2443,334.9853,0.1153,-0.4023,0.2639,0.2561,0.0871,116.259,4,0.2
2026-08-03,ALB,Albemarle Corporation,基础材料,锂电池,XLB,118.71,Wait,,137.2671,138.905,181.831,0.046,-0.5187,-0.2713,0.4187,0.4298,-42.926,3.5,0.2174
2026-08-03,ALGM,"Allegro MicroSystems, Inc.",半导体,半导体,SOXX,41.52,Wait,,64.0311,65.2778,52.9975,0.1001,-1.7614,0.1567,0.4546,0.0317,12.2803,4,0.2
2026-08-03,ALKS,Alkermes plc,医疗健康,生物制药,XBI,49.53,Wait,,55.7153,56.3159,48.2134,0.0404,-1.3357,0.191,0.1152,0.2157,8.1024,3.5,0.2474
2026-08-03,ALM,Almonty Industries Inc.,矿业,钨矿,XME,12.56,Bad Market,,16.8812,17.288,15.2759,0.108,-1.0409,-0.0406,0.1897,0.1658,2.0121,4,0.2
2026-08-03,AMD,"Advanced Micro Devices, Inc.",半导体,半导体,SOXX,484.64,Wait,,565.8893,577.8883,420.924,0.0825,-0.7605,0.3139,0.1178,0.034,156.9642,4,0.2
2026-08-03,AMKR,"Amkor Technology, Inc.",半导体,半导体材料,SOXX,50.84,Wait,,81.2234,83.0736,68.881,0.1213,-1.8778,0.1413,0.3806,0.1288,14.1926,4,0.2
2026-08-03,AMPX,"Amprius Technologies, Inc.",基础材料,锂电池,XLB,10.12,Wait,,13.7891,14.0879,18.9271,0.0984,-0.3962,-0.2448,0.2914,0.1694,-4.8392,4,0.2
2026-08-03,AMT,American Tower Corporation (REI,金融地产,通信铁塔,XLRE,173.0,Wait,,180.99,182.4707,176.8446,0.0285,0.9615,0.0365,0.1512,0.006,5.6262,3.5,0.3505
2026-08-03,AMZN,"Amazon.com, Inc.",科技硬件,互联网零售,QQQ,284.02,Too High,,274.4202,277.4037,239.1929,0.035,4.0385,0.2619,0.3759,0.054,38.2108,3.5,0.2856
2026-08-03,ANAB,"AnaptysBio, Inc.",医疗健康,生物制药,XBI,53.66,Wait,,70.5522,71.6655,54.9663,0.0692,-1.1727,0.0502,0.2071,0.0877,16.6991,4,0.2
2026-08-03,ANDG,Andersen Group Inc.,金融地产,个性化服务,XLF,47.68,Wait,,47.8173,48.5483,37.5835,0.0511,1.8267,0.0576,0.3893,0.1844,10.9648,4,0.2
2026-08-03,ANET,"Arista Networks, Inc.",科技硬件,硬件,XLK,184.89,Wait,,189.0526,192.1915,145.1084,0.0566,1.0195,0.1934,0.1496,0.1592,47.083,4,0.2
2026-08-03,APA,APA Corporation,油气,油气勘探开发,XLE,36.87,Wait,,37.6887,38.0677,36.4889,0.0343,1.4566,-0.0842,0.3311,0.0025,1.5788,3.5,0.2919
2026-08-03,APD,"Air Products and Chemicals, Inc",基础材料,化工,XLB,292.94,Wait,,317.1194,319.4463,287.0432,0.0265,-0.5942,0.0721,0.1816,0.0695,32.403,3.5,0.3777
2026-08-03,APH,Amphenol Corporation,科技硬件,光通信,XLK,163.34,Wait,,173.8534,176.1674,149.3228,0.0472,0.9479,0.1518,0.1114,0.1874,26.8446,3.5,0.2118
2026-08-03,APLD,Applied Digital Corporation,数据中心,数据中心,DTCR,29.49,Bad Market,,36.1561,37.1101,36.929,0.1078,0.2438,-0.0289,0.1776,0.1577,0.1812,4,0.2
2026-08-03,AR,Antero Resources Corporation,油气,油气勘探生产,XLE,36.48,Wait,,36.5048,36.8336,35.1443,0.03,1.8971,-0.0719,0.1228,0.0079,1.6892,3.5,0.3329
2026-08-03,ARM,Arm Holdings plc,半导体,半导体,SOXX,239.06,Wait,,342.6999,350.5446,334.8628,0.1094,-1.4959,0.1186,0.3659,0.0185,15.6818,4,0.2
2026-08-03,AROC,"Archrock, Inc.",油气,油气中游,AMLP,35.12,Wait,,39.9112,40.3459,36.8781,0.0413,-1.4616,0.1001,0.2427,0.0417,3.4678,3.5,0.2424
2026-08-03,ARQQ,Arqit Quantum Inc.,半导体,半导体,SOXX,18.45,Wait,,29.3,29.9749,20.7206,0.1219,0.1096,0.0271,0.381,0.06,9.2544,4,0.2
2026-08-03,ARXS,"Arxis, Inc.",航空国防,航空航天国防,ITA,53.73,Wait,,54.9669,55.9673,40.9619,0.0621,3.0361,0.2529,0.1977,0.237,15.0054,4,0.2
2026-08-03,ASC,Ardmore Shipping Corporation,航运,海运,SEA,17.44,Wait,,17.5644,17.7776,17.1925,0.0408,1.8095,0.0393,0.3914,0.061,0.5851,3.5,0.2454
2026-08-03,ASTS,"AST SpaceMobile, Inc.",航空国防,通讯设备,ITA,63.52,Wait,,87.4053,89.3632,106.9844,0.1027,-0.0421,-0.1808,0.3267,0.0399,-17.6212,4,0.2
2026-08-03,ASX,"ASE Technology Holding Co., Ltd",半导体,半导体,SOXX,36.68,Wait,,43.8624,44.6759,34.2728,0.0739,-0.7377,0.2818,0.1781,0.0135,10.4031,4,0.2
2026-08-03,AU,AngloGold Ashanti PLC,矿业,金,GDX,81.61,Bad Market,,85.4661,86.6559,88.489,0.0486,0.4827,-0.1031,0.0165,0.1533,-1.8331,3.5,0.2058
2026-08-03,AUGO,Aura Minerals Inc.,矿业,金,GDX,56.61,Bad Market,,68.4827,69.6118,64.9355,0.0665,0.0476,-0.1405,0.0706,0.1602,4.6763,4,0.2
2026-08-03,AVGO,Broadcom Inc.,半导体,半导体,SOXX,392.23,Wait,,405.0323,410.0326,423.2328,0.0425,0.45,0.0072,0.1247,0.0412,-13.2002,3.5,0.2353
2026-08-03,AVNT,Avient Corporation,基础材料,化工,XLB,37.39,Wait,,39.2639,39.6493,34.3938,0.0344,0.5325,0.0194,0.0306,0.0758,5.2555,3.5,0.2911
2026-08-03,AVT,"Avnet, Inc.",科技硬件,电子元器,XLK,88.88,Wait,,91.0188,91.9608,81.9403,0.0353,0.8124,0.1266,0.0458,0.029,10.0205,3.5,0.2831
2026-08-03,AVTR,"Avantor, Inc.",医疗健康,生命科学工具,XLV,13.67,Wait,,14.5167,14.7038,12.1968,0.0456,3.6231,0.2717,0.4575,0.3919,2.507,3.5,0.2191
2026-08-03,AXIA,AXIA Energia,油气,再生能源,XLE,10.56,Wait,,10.6056,10.6898,10.1077,0.0266,1.4626,-0.1197,0.0521,0.0473,0.5821,3.5,0.3763
2026-08-03,AXP,American Express Company,金融地产,支付,XLF,344.72,Wait,,365.0172,367.571,336.0326,0.0247,-0.1498,0.0385,0.0274,0.1526,31.5384,3,0.405
2026-08-03,AXTI,AXT Inc,半导体,半导体,SOXX,68.67,Wait,,67.0857,70.1693,99.7153,0.1497,1.5834,0.0022,0.0304,0.138,-29.546,4,0.2
2026-08-03,B,Barrick Mining Corporation,矿业,金,GDX,37.36,Bad Market,,38.5836,38.9964,40.0544,0.0368,0.6167,-0.1315,0.0576,0.1513,-1.058,3.5,0.2715
2026-08-03,BAC,Bank of America Corporation,金融地产,银行,XLF,62.48,Wait,,63.1792,63.5148,59.2645,0.0179,1.4332,-0.0417,0.299,0.4064,4.2503,3,0.5
2026-08-03,BB,BlackBerry Limited,软件,软件,IGV,8.52,Wait,,12.9448,13.1469,10.1146,0.0791,-1.5812,0.1461,0.5885,0.121,3.0323,4,0.2
2026-08-03,BBIO,"BridgeBio Pharma, Inc.",医疗健康,生物科技,XBI,79.96,Wait,,90.9696,91.8642,79.7331,0.0373,-0.8488,-0.0331,0.1373,0.1435,12.1311,3.5,0.2681
2026-08-03,BBVA,Banco Bilbao Vizcaya Argentaria,金融地产,银行,XLF,28.36,Enter,0.6243,28.2336,28.4361,25.9252,0.0238,3.5996,0.0957,0.3147,0.3026,2.5109,3,0.4202
2026-08-03,BCPC,Balchem Corporation,基础材料,化工,XLB,173.57,Too High,,170.6257,171.8652,158.8247,0.0238,2.365,0.0632,0.1128,0.1631,13.0405,3,0.4201
2026-08-03,BDC,Belden Inc,科技硬件,网络基础,XLK,122.73,Wait,,125.2773,126.8849,105.2949,0.0437,3.1275,0.1021,0.0889,0.0971,21.5899,3.5,0.229
2026-08-03,BE,Bloom Energy Corporation,公用电力,电力,GRID,218.32,Bad Market,,301.0696,310.0991,225.4573,0.1379,-0.1122,0.1808,0.2106,0.0816,84.6418,4,0.2
2026-08-03,BELFB,Bel Fuse Inc.,科技硬件,电子元件,XLK,274.83,Wait,,321.8803,327.6108,256.6339,0.0695,0.3566,0.1869,0.1725,0.0159,70.9768,4,0.2
2026-08-03,BEPC,Brookfield Renewable Corporatio,公用电力,电力,XLU,34.16,Bad Market,,37.0916,37.4483,35.8182,0.0348,0.0408,-0.03,0.2193,0.1128,1.6301,3.5,0.2873
2026-08-03,BHE,"Benchmark Electronics, Inc.",科技硬件,解决方案,XLK,80.96,Wait,,96.007,97.5024,78.7306,0.0616,-0.0517,0.2579,0.2631,0.0395,18.7719,4,0.2
2026-08-03,BKH,Black Hills Corporation,公用电力,天然气/电力,XLU,71.23,Bad Market,,76.5223,76.9894,71.3693,0.0219,-1.8678,-0.0681,0.1489,0.0571,5.62,3,0.4575
2026-08-03,BKNG,Booking Holdings Inc. Common St,消费,在线旅游,XLY,192.71,Wait,,203.2271,205.388,176.09,0.0374,1.4074,0.0924,0.1255,0.216,29.298,3.5,0.2675
2026-08-03,BKR,Baker Hughes Company,油气,油气设备服务,XLE,60.81,Wait,,61.1981,61.7926,59.8544,0.0326,1.7998,0.0413,0.3432,0.0786,1.9382,3.5,0.3069
2026-08-03,BKV,BKV Corporation,油气,油气勘探开发,XLE,24.44,Wait,,27.5944,27.8923,26.0249,0.0406,-1.1074,-0.0507,0.2942,0.1413,1.8674,3.5,0.2461
2026-08-03,BLK,"BlackRock, Inc.",金融地产,资管,XLF,1126.63,Too High,,1109.6363,1118.3962,1001.8317,0.0259,2.5458,0.0467,0.3556,0.0365,116.5645,3.5,0.3858
2026-08-03,BNTX,BioNTech SE,医疗健康,生物技术,XBI,92.25,Wait,,98.4675,99.2299,88.6505,0.0275,0.1112,-0.1245,0.0637,0.0003,10.5794,3.5,0.363
2026-08-03,BP,BP p.l.c.,油气,综合油气,XLE,44.26,Wait,,45.6626,45.9841,42.9245,0.0242,2.4785,0.028,0.4906,0.0032,3.0596,3,0.4129
2026-08-03,BTSG,"BrightSpring Health Services, I",医疗健康,医疗健康,XLV,60.465,Wait,,73.6286,74.7065,58.5381,0.0594,-2.6901,0.4336,0.2327,0.0536,16.1684,4,0.2
2026-08-03,BTU,Peabody Energy Corporation,油气,煤矿,XLE,21.79,Wait,,24.2738,24.6245,26.534,0.0536,-0.935,-0.1502,0.0406,0.0625,-1.9096,4,0.2
2026-08-03,BUD,Anheuser-Busch Inbev SA Sponsor,消费,消费必需品,XLP,84.05,Wait,,87.3205,87.889,80.7952,0.0225,1.4249,0.1483,0.1659,0.0711,7.0937,3,0.4436
2026-08-03,BVN,Buenaventura Mining Company Inc,矿业,金,GDX,30.47,Bad Market,,32.3947,32.8361,33.3204,0.0483,0.019,-0.1021,0.0823,0.1578,-0.4843,3.5,0.2071
2026-08-03,BWLP,BW LPG Limited,航运,海运,SEA,21.87,Wait,,22.7787,22.9913,20.1296,0.0324,1.4985,0.0539,0.3984,0.0598,2.8617,3.5,0.3086
2026-08-03,BWXT,"BWX Technologies, Inc.",航空国防,航空航天国防,ITA,173.79,Wait,,198.6279,200.9536,183.8064,0.0446,-0.3225,-0.0519,0.1914,0.1534,17.1472,3.5,0.2242
2026-08-03,CAMT,Camtek Ltd.,半导体,半导体,SOXX,139.79,Wait,,159.1383,162.6607,150.7843,0.084,-0.3737,0.0338,0.1196,0.076,11.8764,4,0.2
2026-08-03,CAT,"Caterpillar, Inc.",工业,工业机械,XLI,830.03,Wait,,999.7103,1011.9294,922.3435,0.0491,-1.513,0.1707,0.4197,0.0588,89.5859,3.5,0.2038
2026-08-03,CBRS,Cerebras Systems Inc.,半导体,半导体,SOXX,219.97,Wait,,226.4153,234.1332,,0.117,1.0161,-0.0488,0.0045,,,4,0.2
2026-08-03,CCJ,Cameco Corporation,矿业,铀,URA,89.72,Bad Market,,98.3972,99.7111,105.1808,0.0488,-0.0747,-0.1343,0.1784,0.1891,-5.4697,3.5,0.2049
2026-08-03,CDE,"Coeur Mining, Inc.",矿业,银,SIL,15.56,Bad Market,,17.4867,17.7667,16.0062,0.06,0.1827,-0.152,0.0849,0.1322,1.7605,4,0.2
2026-08-03,CDW,CDW Corporation,科技硬件,IT,XLK,147.7,Wait,,149.397,151.014,129.0544,0.0365,1.8474,0.041,0.146,0.2828,21.9596,3.5,0.274
2026-08-03,CEG,Constellation Energy Corporatio,公用电力,核电,XLU,273.71,Bad Market,,278.3371,281.2644,267.4178,0.0357,1.5939,-0.1362,0.3669,0.0038,13.8466,3.5,0.2805
2026-08-03,CELC,Celcuity Inc.,医疗健康,生物技术,XBI,87.72,Wait,,116.9265,118.7362,118.4,0.0688,-1.2076,-0.1122,0.1997,0.1722,0.3362,4,0.2
