ticker,exchange,benchmark,major,sub
NOK,NYSE,XLK,科技硬件,通讯设备
ONDS,NASDAQ,XLK,科技硬件,通讯设备
PL,NYSE,ITA,航空国防,航空航天国防
RCAT,NASDAQ,ITA,航空国防,航空航天国防
RDW,NYSE,ITA,航空国防,航空航天国防
RKLB,NASDAQ,ITA,航空国防,航空航天国防
SARO,NYSE,ITA,航空国防,航空航天国防
TXT,NYSE,ITA,航空国防,航空航天国防
VSAT,NASDAQ,ITA,航空国防,通讯设备
VVX,NYSE,ITA,航空国防,航空航天国防
APA,NASDAQ,XLE,油气,油气勘探开发
AROC,NYSE,AMLP,油气,油气中游
BKR,NASDAQ,XLE,油气,油气设备服务
BKV,NYSE,XLE,油气,油气勘探开发
BP,NYSE,XLE,油气,综合油气
BTU,NYSE,XLE,油气,煤矿
BWLP,NYSE,SEA,航运,海运
CHRD,NASDAQ,XLE,油气,油气勘探开发
CLMT,NASDAQ,XLE,油气,燃料油
CMBT,NYSE,SEA,航运,海运
CNQ,NYSE,XLE,油气,油气勘探开发
COP,NYSE,XLE,油气,油气勘探开发
CRC,NYSE,XLE,油气,油气勘探开发
CRGY,NYSE,XLE,油气,油气勘探开发
CVE,NYSE,XLE,油气,综合油气
CVX,NYSE,XLE,油气,综合油气
DHT,NYSE,SEA,航运,海运
DINO,NYSE,XLE,油气,炼油
DTM,NYSE,AMLP,油气,油气中游
DVN,NYSE,XLE,油气,油气勘探开发
ECO,NYSE,SEA,航运,海运
EFXT,NYSE,XLE,油气,油气设备服务
ENB,NYSE,AMLP,油气,油气中游
EPD,NYSE,AMLP,油气,油气中游
EQNR,NYSE,XLE,油气,综合油气
EXE,NASDAQ,XLE,油气,油气勘探开发
FANG,NASDAQ,XLE,油气,油气勘探开发
FLOC,NYSE,XLE,油气,油气设备服务
FRO,NYSE,SEA,航运,海运
FTI,NYSE,XLE,油气,油气设备服务
GEL,NYSE,AMLP,油气,油气中游
GLNG,NASDAQ,AMLP,油气,油气中游
HAFN,NYSE,SEA,航运,海运
HAL,NYSE,XLE,油气,油气设备服务
INSW,NYSE,SEA,航运,海运
KMI,NYSE,AMLP,油气,油气中游
